Date,Ibirapuera,Pinheiros
January 12, 2017,1208,1325
January 13, 2017,1202,1282
January 14, 2017,2103,2314
January 15, 2017,1094,1193
January 16, 2017,831,886
January 17, 2017,622,632
January 18, 2017,694,728
January 19, 2017,368,451
January 20, 2017,395,373
January 21, 2017,732,772
January 22, 2017,1096,1214
January 23, 2017,1433,1503
January 24, 2017,2093,2233
January 25, 2017,1074,1182
January 26, 2017,1094,1147
January 27, 2017,1157,1241
January 28, 2017,2717,2794
January 29, 2017,1263,1349
January 30, 2017,1397,1440
January 31, 2017,929,938
February 1, 2017,1157,1329
February 2, 2017,1134,1217
February 3, 2017,879,917
February 4, 2017,2508,2643
February 5, 2017,1079,1127
February 6, 2017,1395,1583
February 7, 2017,1547,1705
February 8, 2017,1615,1825
February 9, 2017,1363,1532
February 10, 2017,1099,1199
February 11, 2017,2161,2356
February 12, 2017,1492,1620
February 13, 2017,1637,1838
February 14, 2017,1566,1735
February 15, 2017,1492,1675
February 16, 2017,1311,1446
February 17, 2017,633,893
February 18, 2017,1755,2369
February 19, 2017,1354,1560
February 20, 2017,1487,1640
February 21, 2017,1268,1311
February 22, 2017,1253,1544
February 23, 2017,1017,1042
February 24, 2017,540,711
February 25, 2017,1174,1412
February 26, 2017,683,941
February 27, 2017,1475,1895
February 28, 2017,1003,1153
March 1, 2017,1301,1406
March 2, 2017,962,1141
March 3, 2017,722,982
March 4, 2017,1576,1972
March 5, 2017,993,1095
March 6, 2017,1236,1301
March 7, 2017,1175,1378
March 8, 2017,702,1208
March 9, 2017,1256,1439
March 10, 2017,1156,1210
March 11, 2017,2360,2733
March 12, 2017,1146,1257
March 13, 2017,1282,1526
March 14, 2017,1740,1947
March 15, 2017,1515,1645
March 16, 2017,1109,1126
March 17, 2017,536,611
March 18, 2017,1094,1212
March 19, 2017,1263,1438
March 20, 2017,1427,1657
March 21, 2017,1522,1747
March 22, 2017,1377,1571
March 23, 2017,1279,1537
March 24, 2017,1003,1037
March 25, 2017,1975,2175
March 26, 2017,1188,1333
March 27, 2017,1469,1615
March 28, 2017,1464,1596
March 29, 2017,1394,1534
March 30, 2017,1300,1455
March 31, 2017,927,999
April 1, 2017,1760,1888
April 2, 2017,1438,1541
April 3, 2017,1559,1715
April 4, 2017,1444,1598
April 5, 2017,590,674
April 6, 2017,809,909
April 7, 2017,822,923
April 8, 2017,1818,1998
April 9, 2017,1310,1457
April 10, 2017,1445,1587
April 11, 2017,1006,1158
April 12, 2017,980,1090
April 13, 2017,1034,1132
April 14, 2017,1143,1205
April 15, 2017,1437,1553
April 16, 2017,933,1085
April 17, 2017,1258,1381
April 18, 2017,1250,1434
April 19, 2017,1213,1385
April 20, 2017,922,1075
April 21, 2017,694,740
