Date,Ibirapuera,Pinheiros
August 13, 2021,1240,1363
August 14, 2021,2746,3049
August 15, 2021,1001,1103
August 16, 2021,1505,1717
August 17, 2021,1594,1754
August 18, 2021,1561,1770
August 19, 2021,1391,1614
August 20, 2021,1761,1999
August 21, 2021,2879,3281
August 22, 2021,1299,1546
August 23, 2021,1506,1702
August 24, 2021,1520,1770
August 25, 2021,1462,1637
August 26, 2021,1019,1164
August 27, 2021,390,488
August 28, 2021,1369,1585
August 29, 2021,1118,1230
August 30, 2021,1358,1587
August 31, 2021,1453,1666
September 1, 2021,1438,1611
September 2, 2021,1396,1579
September 3, 2021,1586,1804
September 4, 2021,2487,2796
September 5, 2021,1285,1391
September 6, 2021,2352,2662
September 7, 2021,1311,1521
September 8, 2021,1240,1316
September 9, 2021,1108,1180
September 10, 2021,1636,1825
September 11, 2021,2913,3252
September 12, 2021,1434,1517
September 13, 2021,1466,1684
September 14, 2021,1203,1257
September 15, 2021,1039,1085
September 16, 2021,1194,1306
September 17, 2021,1698,1899
September 18, 2021,2886,3116
September 19, 2021,1397,1489
September 20, 2021,1331,1389
September 21, 2021,1089,1211
September 22, 2021,1332,1487
September 23, 2021,1268,1426
September 24, 2021,897,1051
September 25, 2021,2694,2965
September 26, 2021,1363,1557
September 27, 2021,1672,1871
September 28, 2021,1419,1559
September 29, 2021,1468,1566
September 30, 2021,1085,1228
October 1, 2021,1298,1431
October 2, 2021,1880,2044
October 3, 2021,1003,1141
October 4, 2021,1304,1394
October 5, 2021,1515,1620
October 6, 2021,1194,1342
October 7, 2021,1337,1476
October 8, 2021,635,731
October 9, 2021,638,746
October 10, 2021,774,837
October 11, 2021,1938,2155
October 12, 2021,1387,1489
October 13, 2021,1292,1261
October 14, 2021,1130,1176
October 15, 2021,1290,1499
October 16, 2021,1352,1639
October 17, 2021,539,675
October 18, 2021,882,946
October 19, 2021,1122,1312
October 20, 2021,1387,1522
October 21, 2021,1384,1597
October 22, 2021,1880,2199
October 23, 2021,666,814
October 24, 2021,1197,1364
October 25, 2021,1330,1521
October 26, 2021,1159,1138
October 27, 2021,1106,1247
October 28, 2021,1273,1432
October 29, 2021,1517,1648
October 30, 2021,1099,1359
October 31, 2021,850,981
November 1, 2021,2169,2385
November 2, 2021,1434,1552
November 3, 2021,1648,1795
November 4, 2021,1500,1648
November 5, 2021,1812,1991
November 6, 2021,2690,2959
November 7, 2021,1455,1580
November 8, 2021,1585,1718
November 9, 2021,1532,1676
November 10, 2021,1157,1098
November 11, 2021,1246,1394
November 12, 2021,1512,1599
November 13, 2021,2261,2521
November 14, 2021,2234,2531
November 15, 2021,1526,1615
November 16, 2021,1613,1812
November 17, 2021,926,825
November 18, 2021,717,855
November 19, 2021,987,1132
November 20, 2021,2171,2384
November 21, 2021,1532,1614
November 22, 2021,1786,1938
November 23, 2021,1637,1776
November 24, 2021,1672,1918
November 25, 2021,1103,1268
November 26, 2021,1453,1601
November 27, 2021,2238,2424
November 28, 2021,1420,1506
November 29, 2021,1277,1270
November 30, 2021,1563,1698
December 1, 2021,1530,1627
December 2, 2021,1357,1525
December 3, 2021,1426,1624
December 4, 2021,2108,2342
December 5, 2021,1312,1439
December 6, 2021,794,843
December 7, 2021,1354,1477
December 8, 2021,1563,1681
December 9, 2021,1514,1655
December 10, 2021,1544,1616
December 11, 2021,1899,2107
December 12, 2021,1140,1006
December 13, 2021,1272,1441
December 14, 2021,1049,990
December 15, 2021,1213,1385
December 16, 2021,1070,1180
December 17, 2021,1116,1242
December 18, 2021,1401,1570
December 19, 2021,1286,1335
December 20, 2021,1320,1498
December 21, 2021,1077,1154
December 22, 2021,966,1052
December 23, 2021,694,718
December 24, 2021,692,787
December 25, 2021,1876,2123
December 26, 2021,880,861
December 27, 2021,914,963
December 28, 2021,932,1006
December 29, 2021,572,563
December 30, 2021,216,275
December 31, 2021,469,515
January 1, 2022,1262,1471
January 2, 2022,807,815
January 3, 2022,801,842
January 4, 2022,930,1006
January 5, 2022,897,891
January 6, 2022,715,706
January 7, 2022,721,813
January 8, 2022,751,824
January 9, 2022,975,975
January 10, 2022,952,1003
January 11, 2022,970,982
January 12, 2022,1038,1104
January 13, 2022,1065,733
January 14, 2022,728,826
January 15, 2022,1101,1184
January 16, 2022,1163,1184
January 17, 2022,1168,1100
January 18, 2022,1100,1056
January 19, 2022,980,936
January 20, 2022,816,780
January 21, 2022,820,941
January 22, 2022,1444,972
January 23, 2022,991,1024
January 24, 2022,1156,1136
January 25, 2022,1082,1096
January 26, 2022,944,820
January 27, 2022,816,732
January 28, 2022,940,848
January 29, 2022,1211,1193
January 30, 2022,1058,1005
January 31, 2022,1100,1140
February 1, 2022,1080,1064
February 2, 2022,1028,968
February 3, 2022,754,748
February 4, 2022,940,968
February 5, 2022,1311,1293
February 6, 2022,1191,1378
February 7, 2022,1469,1551
February 8, 2022,1609,1749
February 9, 2022,1510,1692
February 10, 2022,1406,1512
February 11, 2022,1450,1609
February 12, 2022,2684,2972
February 13, 2022,1375,1568
February 14, 2022,1523,1658
February 15, 2022,1539,1715
February 16, 2022,1322,1315
February 17, 2022,1346,1442
February 18, 2022,1612,1782
February 19, 2022,2543,2805
February 20, 2022,1331,1479
February 21, 2022,1666,1761
February 22, 2022,1425,1584
February 23, 2022,1502,1620
February 24, 2022,1320,1432
February 25, 2022,1380,1536
February 26, 2022,1739,2039
February 27, 2022,1229,1349
February 28, 2022,1366,1575
March 1, 2022,1158,1294
March 2, 2022,1402,1563
March 3, 2022,1279,1339
March 4, 2022,1345,1441
March 5, 2022,2259,2545
March 6, 2022,1309,1429
March 7, 2022,1615,1780
March 8, 2022,1583,1772
March 9, 2022,1665,1738
March 10, 2022,1066,1270
March 11, 2022,1177,1243
March 12, 2022,1918,2161
March 13, 2022,1099,1071
March 14, 2022,1210,1254
March 15, 2022,1345,1393
March 16, 2022,1654,1851
March 17, 2022,1570,1612
March 18, 2022,1354,1540
March 19, 2022,957,1100
March 20, 2022,1351,1475
March 21, 2022,1761,1923
March 22, 2022,1786,1979
March 23, 2022,1739,1907
March 24, 2022,1574,1705
March 25, 2022,1397,1716
March 26, 2022,1398,1644
March 27, 2022,1467,1551
March 28, 2022,1820,1966
March 29, 2022,1795,1941
March 30, 2022,1305,1306
March 31, 2022,1004,983
April 1, 2022,887,998
April 2, 2022,2179,2358
April 3, 2022,1393,1576
April 4, 2022,1502,1675
April 5, 2022,1787,1968
April 6, 2022,1734,1907
April 7, 2022,1593,1653
April 8, 2022,1489,1751
April 9, 2022,2337,2570
April 10, 2022,1552,1720
April 11, 2022,1761,1979
April 12, 2022,1413,1550
April 13, 2022,1493,1543
April 14, 2022,1515,1669
