Date,R. Vergueiro Bicicleta Bairro,R. Vergueiro Bicicleta Centro
November 16, 2021,1499,1587
November 17, 2021,585,703
November 18, 2021,532,609
November 19, 2021,940,996
November 20, 2021,682,803
November 21, 2021,1389,1389
November 22, 2021,1582,1654
November 23, 2021,1355,1459
November 24, 2021,1424,1551
November 25, 2021,796,968
November 26, 2021,1389,1450
November 27, 2021,902,1033
November 28, 2021,1260,1302
November 29, 2021,852,928
November 30, 2021,1372,1440
December 1, 2021,1161,1276
December 2, 2021,1096,1219
December 3, 2021,1254,1291
December 4, 2021,907,979
December 5, 2021,1023,1091
December 6, 2021,586,602
December 7, 2021,1060,1168
December 8, 2021,1283,1378
December 9, 2021,1204,1303
December 10, 2021,1326,1334
December 11, 2021,676,773
December 12, 2021,689,810
December 13, 2021,962,982
December 14, 2021,617,686
December 15, 2021,929,1000
December 16, 2021,686,762
December 17, 2021,1020,1112
December 18, 2021,510,561
December 19, 2021,1024,1157
December 20, 2021,1203,1377
December 21, 2021,963,995
December 22, 2021,889,961
December 23, 2021,630,643
December 24, 2021,919,949
December 25, 2021,747,797
December 26, 2021,741,821
December 27, 2021,867,966
December 28, 2021,900,977
December 29, 2021,564,620
December 30, 2021,338,332
December 31, 2021,995,1042
January 1, 2022,1436,1272
January 2, 2022,932,864
January 3, 2022,1056,976
January 4, 2022,1044,980
January 5, 2022,952,812
January 6, 2022,524,556
January 7, 2022,816,776
January 8, 2022,400,372
January 9, 2022,934,864
January 10, 2022,813,695
January 11, 2022,782,834
January 12, 2022,936,961
January 13, 2022,997,987
January 14, 2022,1279,1253
January 15, 2022,547,647
January 16, 2022,1207,1158
January 17, 2022,1042,1085
January 18, 2022,1126,1129
January 19, 2022,893,902
January 20, 2022,1167,1198
January 21, 2022,1354,1367
January 22, 2022,740,860
January 23, 2022,1077,1112
January 24, 2022,1792,1880
January 25, 2022,963,1069
January 26, 2022,1208,1251
January 27, 2022,484,500
January 28, 2022,449,451
January 29, 2022,339,407
January 30, 2022,426,460
January 31, 2022,843,894
February 1, 2022,831,879
February 2, 2022,1111,1175
February 3, 2022,1114,1231
February 4, 2022,1482,1555
February 5, 2022,797,886
February 6, 2022,599,649
February 7, 2022,1280,1308
February 8, 2022,1406,1365
February 9, 2022,1312,1464
February 10, 2022,1320,1372
February 11, 2022,1303,1324
February 12, 2022,1048,1079
February 13, 2022,1210,1291
February 14, 2022,1331,1471
February 15, 2022,1376,1468
February 16, 2022,976,1026
February 17, 2022,1078,1218
February 18, 2022,1412,1314
February 19, 2022,911,952
February 20, 2022,1142,1132
February 21, 2022,1445,1451
February 22, 2022,1277,1306
February 23, 2022,1271,1326
February 24, 2022,1215,1261
February 25, 2022,1183,1152
February 26, 2022,780,732
February 27, 2022,1212,1228
February 28, 2022,1381,1445
March 1, 2022,1236,1252
March 2, 2022,1272,1160
March 3, 2022,1188,1092
March 4, 2022,1164,1223
March 5, 2022,620,663
March 6, 2022,1115,1110
March 7, 2022,1366,1396
March 8, 2022,1365,1400
March 9, 2022,1171,1184
March 10, 2022,943,958
March 11, 2022,951,936
March 12, 2022,581,651
March 13, 2022,714,718
March 14, 2022,793,841
March 15, 2022,883,906
March 16, 2022,1408,1465
March 17, 2022,1154,1204
March 18, 2022,1176,1198
March 19, 2022,281,394
March 20, 2022,1036,1060
March 21, 2022,1439,1537
March 22, 2022,1393,1513
March 23, 2022,1537,1654
March 24, 2022,1306,1393
March 25, 2022,1262,1351
March 26, 2022,488,571
March 27, 2022,1131,1237
March 28, 2022,1437,1558
March 29, 2022,1461,1522
March 30, 2022,815,874
March 31, 2022,560,607
April 1, 2022,821,865
April 2, 2022,802,832
April 3, 2022,1245,1292
April 4, 2022,1243,1264
April 5, 2022,1404,1569
April 6, 2022,1323,1497
April 7, 2022,1076,1167
April 8, 2022,1318,1353
April 9, 2022,799,943
April 10, 2022,1225,1274
April 11, 2022,1399,1480
April 12, 2022,1029,1181
April 13, 2022,947,1047
April 14, 2022,577,658
