Date,R. Vergueiro Bicicleta Bairro,R. Vergueiro Bicicleta Centro
June 23, 2017,722,718
June 24, 2017,829,836
June 25, 2017,799,861
June 26, 2017,977,997
June 27, 2017,917,926
June 28, 2017,908,978
June 29, 2017,855,900
June 30, 2017,434,430
July 1, 2017,360,362
July 2, 2017,608,613
July 3, 2017,811,852
July 4, 2017,731,778
July 5, 2017,742,742
July 6, 2017,646,718
July 7, 2017,629,633
July 8, 2017,768,887
July 9, 2017,739,858
July 10, 2017,998,1018
July 11, 2017,850,861
July 12, 2017,923,877
July 13, 2017,755,771
July 14, 2017,696,690
July 15, 2017,782,831
July 16, 2017,782,850
July 17, 2017,519,538
July 18, 2017,514,525
July 19, 2017,661,739
July 20, 2017,759,789
July 21, 2017,691,699
July 22, 2017,850,872
July 23, 2017,903,943
July 24, 2017,1008,970
July 25, 2017,892,959
July 26, 2017,892,941
July 27, 2017,760,794
July 28, 2017,807,781
July 29, 2017,830,908
July 30, 2017,859,891
July 31, 2017,981,1030
August 1, 2017,886,992
August 2, 2017,805,838
August 3, 2017,506,546
August 4, 2017,421,435
August 5, 2017,741,679
August 6, 2017,834,890
August 7, 2017,1033,1096
August 8, 2017,1008,1053
August 9, 2017,766,845
August 10, 2017,779,821
August 11, 2017,737,744
August 12, 2017,709,779
August 13, 2017,872,872
August 14, 2017,462,504
August 15, 2017,488,513
August 16, 2017,356,370
August 17, 2017,434,498
August 18, 2017,209,193
August 19, 2017,137,187
August 20, 2017,347,359
August 21, 2017,694,765
August 22, 2017,851,875
August 23, 2017,916,969
August 24, 2017,809,861
August 25, 2017,780,759
August 26, 2017,899,958
August 27, 2017,910,964
August 28, 2017,1005,1172
August 29, 2017,1033,1149
August 30, 2017,725,785
August 31, 2017,834,848
September 1, 2017,688,757
September 2, 2017,977,1044
September 3, 2017,1006,1004
September 4, 2017,1111,1141
September 5, 2017,866,906
September 6, 2017,784,826
September 7, 2017,699,735
September 8, 2017,746,724
September 9, 2017,877,929
September 10, 2017,995,1013
September 11, 2017,1085,1169
September 12, 2017,1060,1080
September 13, 2017,1103,1157
September 14, 2017,916,981
September 15, 2017,794,847
September 16, 2017,800,925
September 17, 2017,894,951
September 18, 2017,1051,1182
September 19, 2017,1102,1105
September 20, 2017,1068,1110
September 21, 2017,958,1000
September 22, 2017,798,759
September 23, 2017,817,847
September 24, 2017,954,1005
September 25, 2017,1057,1129
September 26, 2017,1088,1152
September 27, 2017,768,902
September 28, 2017,646,663
September 29, 2017,342,365
September 30, 2017,838,878
October 1, 2017,671,697
October 2, 2017,812,783
October 3, 2017,1061,1118
October 4, 2017,1041,1030
October 5, 2017,823,860
October 6, 2017,239,224
October 7, 2017,583,701
October 8, 2017,966,1007
October 9, 2017,864,1008
October 10, 2017,797,821
October 11, 2017,620,678
October 12, 2017,636,667
October 13, 2017,613,584
October 14, 2017,485,508
October 15, 2017,813,851
October 16, 2017,1011,1075
October 17, 2017,1022,1129
October 18, 2017,1002,1059
October 19, 2017,760,802
October 20, 2017,613,635
October 21, 2017,265,241
October 22, 2017,574,548
October 23, 2017,857,955
October 24, 2017,900,926
October 25, 2017,576,606
October 26, 2017,535,606
October 27, 2017,699,784
October 28, 2017,596,688
October 29, 2017,639,677
October 30, 2017,869,886
October 31, 2017,774,809
November 1, 2017,841,903
November 2, 2017,741,728
November 3, 2017,676,671
November 4, 2017,1488,1394
November 5, 2017,636,636
November 6, 2017,842,896
November 7, 2017,865,857
November 8, 2017,712,745
November 9, 2017,798,826
November 10, 2017,556,561
November 11, 2017,2927,3231
November 12, 2017,922,975
November 13, 2017,979,1022
November 14, 2017,858,989
November 15, 2017,823,844
November 16, 2017,505,540
November 17, 2017,598,633
November 18, 2017,457,460
November 19, 2017,960,934
November 20, 2017,577,619
November 21, 2017,581,571
November 22, 2017,804,849
November 23, 2017,802,932
November 24, 2017,761,798
November 25, 2017,764,667
November 26, 2017,418,440
November 27, 2017,910,999
November 28, 2017,990,1001
November 29, 2017,838,871
November 30, 2017,677,733
December 1, 2017,615,677
December 2, 2017,718,771
December 3, 2017,857,893
December 4, 2017,898,999
December 5, 2017,933,982
December 6, 2017,699,736
December 7, 2017,518,579
December 8, 2017,755,765
December 9, 2017,670,822
December 10, 2017,768,754
December 11, 2017,760,840
December 12, 2017,851,852
December 13, 2017,899,920
December 14, 2017,810,868
December 15, 2017,568,684
December 16, 2017,792,823
December 17, 2017,752,817
December 18, 2017,904,906
December 19, 2017,640,690
December 20, 2017,360,375
December 21, 2017,494,516
December 22, 2017,571,636
December 23, 2017,424,472
December 24, 2017,496,482
December 25, 2017,461,492
December 26, 2017,705,712
December 27, 2017,476,500
December 28, 2017,357,360
December 29, 2017,406,424
December 30, 2017,493,513
December 31, 2017,801,755
January 1, 2018,593,626
January 2, 2018,350,414
January 3, 2018,1029,945
January 4, 2018,776,802
January 5, 2018,700,714
January 6, 2018,213,230
January 7, 2018,225,230
January 8, 2018,680,664
January 9, 2018,737,760
January 10, 2018,753,843
January 11, 2018,739,769
January 12, 2018,618,634
January 13, 2018,793,875
January 14, 2018,918,984
January 15, 2018,789,825
January 16, 2018,881,937
January 17, 2018,1284,1262
January 18, 2018,759,816
January 19, 2018,659,679
January 20, 2018,807,868
January 21, 2018,818,890
January 22, 2018,942,1018
January 23, 2018,853,925
January 24, 2018,815,721
January 25, 2018,487,544
January 26, 2018,617,664
January 27, 2018,920,876
January 28, 2018,643,705
January 29, 2018,451,458
January 30, 2018,952,1017
January 31, 2018,1010,1057
February 1, 2018,847,987
February 2, 2018,713,714
February 3, 2018,715,808
February 4, 2018,801,816
February 5, 2018,879,928
February 6, 2018,1036,1118
February 7, 2018,995,1067
February 8, 2018,871,960
February 9, 2018,602,647
February 10, 2018,1460,1611
February 11, 2018,729,717
February 12, 2018,653,649
February 13, 2018,446,460
February 14, 2018,646,683
February 15, 2018,713,732
February 16, 2018,730,766
February 17, 2018,613,680
February 18, 2018,997,1008
February 19, 2018,979,1021
February 20, 2018,1006,1106
February 21, 2018,908,959
February 22, 2018,814,868
February 23, 2018,788,816
February 24, 2018,862,913
February 25, 2018,609,648
February 26, 2018,904,932
February 27, 2018,1043,1069
February 28, 2018,987,1099
March 1, 2018,720,756
March 2, 2018,710,694
March 3, 2018,664,801
March 4, 2018,917,965
March 5, 2018,867,875
March 6, 2018,848,894
March 7, 2018,710,741
March 8, 2018,868,921
March 9, 2018,735,792
March 10, 2018,920,953
March 11, 2018,824,865
March 12, 2018,920,981
March 13, 2018,853,912
March 14, 2018,985,1040
March 15, 2018,964,1021
March 16, 2018,736,737
March 17, 2018,800,937
March 18, 2018,996,1011
March 19, 2018,648,774
March 20, 2018,868,854
March 21, 2018,864,947
March 22, 2018,839,916
March 23, 2018,802,810
March 24, 2018,782,859
March 25, 2018,804,832
March 26, 2018,665,725
March 27, 2018,607,639
March 28, 2018,638,668
March 29, 2018,306,375
March 30, 2018,709,706
March 31, 2018,577,702
April 1, 2018,931,896
April 2, 2018,836,844
April 3, 2018,1041,1066
April 4, 2018,1007,1093
April 5, 2018,951,1007
April 6, 2018,779,778
April 7, 2018,764,814
April 8, 2018,972,1019
April 9, 2018,1146,1225
April 10, 2018,1112,1143
April 11, 2018,1042,1130
April 12, 2018,970,1049
April 13, 2018,732,818
April 14, 2018,169,156
April 15, 2018,719,716
April 16, 2018,1001,1053
April 17, 2018,892,727
April 18, 2018,1051,1109
April 19, 2018,921,974
April 20, 2018,469,560
April 21, 2018,769,891
April 22, 2018,944,1006
April 23, 2018,1135,1227
April 24, 2018,869,1018
April 25, 2018,1064,1119
April 26, 2018,927,1004
April 27, 2018,583,682
April 28, 2018,855,798
April 29, 2018,845,863
April 30, 2018,829,868
May 1, 2018,992,1036
May 2, 2018,1172,1125
May 3, 2018,1012,1105
May 4, 2018,817,863
May 5, 2018,896,878
May 6, 2018,1038,1091
May 7, 2018,1056,1158
May 8, 2018,1115,1127
May 9, 2018,1094,1239
May 10, 2018,1006,1120
May 11, 2018,782,765
May 12, 2018,494,491
May 13, 2018,978,987
May 14, 2018,1047,1164
May 15, 2018,1026,1055
May 16, 2018,1157,1145
May 17, 2018,946,980
May 18, 2018,511,489
May 19, 2018,601,590
May 20, 2018,859,872
May 21, 2018,988,1044
May 22, 2018,1030,1004
May 23, 2018,1059,1101
