Data Medicao	EVAPORACAO DO PICHE, DIARIA(mm)	INSOLACAO TOTAL, DIARIO(h)	PRECIPITACAO TOTAL, DIARIO(mm)	TEMPERATURA MAXIMA, DIARIA(°C)	TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)	TEMPERATURA MINIMA, DIARIA(°C)	UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)	VENTO, VELOCIDADE MEDIA DIARIA(m/s)
2018-01-14	2	5.1	0	30.4	23.2	19.2	80	0.8
2018-01-15	7	4.4	6	29.8	25.16	19.8	68	1.95
2018-01-16	6	3	1	29.2	24.56	19.8	76	1.6
2018-01-17	4	6.2	5.8	30.8	25.28	20.8	77	1.05
2018-01-18	3.8	4.9	0	31.6	27.12	22.3	78	2.3
2018-01-19	5	0.3	12	28.8	23.56	21	83	1.65
2018-01-20	4.4	2	2	29	22.72	20.2	90	1.9
2018-01-21	2.3	5.1	22	30.2	23.2	19.6	85	1.6
2018-01-22	3.8	8.8	8.8	31.8	25.2	19.6	70	2.5
2018-01-23	6	6.6	4	32	25.3	21	76	2.45
2018-01-24	5.2	4.6	4.2	33.7	25.92	20.6	69	1.05
2018-01-25	5.6	6.2	0	29.7	24.26	20.6	82	3.8
2018-01-26	4.4	1.2	0	24.8	21.88	19.8	85	3.55
2018-01-27	2.7	1	0.3	25.1	21.12	18.5	85	3.5
2018-01-28	3	7.2	0	31.2	23.96	19.6	83	1.5
2018-01-29	3.4	0.7	3	25.8	22.8	21.4	91	1.3
2018-01-30	2.4	0	35.1	21.8	19.8	18.2	85	2.75
2018-01-31	1	9.9	16.8	25.5	21.02	17.2	78	2.5
2018-02-01	4	9.5	0	27.3	21.88	18.3	71	3.533333
2018-02-02	4	4.3	0	27.8	22.36	18.6	71	3.133333
2018-02-03	4.2	7.4	0	25.9	20.86	18.1	72.75	4.3
2018-02-04	3.5	5.4	0	25.7	20.84	16.7	71.75	3.933333
2018-02-05	4	5.1	0	25.4	21.08	18.2	74.75	3.2
2018-02-06	3.5	0.5	0	24.4	20.82	17.7	78	1.566667
2018-02-07	2.5	9.6	0	29	23.32	18.8	65.75	2.4
2018-02-08	5	7.2	0	29.6	23.56	17.3	62.25	1.2
2018-02-09	3.7	8.3	1.4	32.8	26.18	19.3	53.5	2.266667
2018-02-10	8	5.1	0	30	24.02	20.3	73.5	2.033333
2018-02-11	3.8	6.7	10.2	31	25.44	20.2	69.5	1.2
2018-02-12	5.2	8.6	0	32	25.74	22.7	71	2.366667
2018-02-13	4.6	0	2	24.5	20.32	18.6	85.5	3.633333
2018-02-14	1.6	0	0	22.2	20.18	18.2	85.25	3.066667
2018-02-15	1.4	0.2	1.3	24.1	20.5	17.8	85.5	2.833333
2018-02-16	1.8	1.5	0.2	24.5	19.84	17.1	81.75	4.033333
2018-02-17	2.4	4.7	0	27	21.42	17.9	78.75	3.166667
2018-02-18	2.4	0	0	23.8	21.32	19.8	81.25	0.466667
2018-02-19	1.8	4.1	0	26.8	23.42	18.6	71	0.8
2018-02-20	4.1	1.8	0	27.7	23.76	21.2	83	2.5
2018-02-21	3.7	10.9	5	29.7	25.32	21.5	62	3.3
2018-02-22	4.2	7	0	30.2	23.72	20.4	86	1.15
2018-02-23	2.6	7.8	9	27.3	22.2	19.3	79	2.1
2018-02-24	3.2	10.3	0	27.5	22.08	17.8	70	2.5
2018-02-25	2.8	7.3	0	26.8	21.84	17.6	76	3.3
2018-02-26	2.9	1.1	0	27.2	22.2	19.6	88	1.6
2018-02-27	1.1	3.6	73.1	28.5	22.92	19	84	2.5
2018-02-28	2.1	9.3	0	30.3	24.06	19.5	77	1.25
2018-03-01	5.1	6.9	0	30.6	24.7	20.9	80.25	2.8
2018-03-02	3.5	6.8	0.5	31.4	24.48	21.3	83.75	2.466667
2018-03-03	3.8	6.8	4.2	29.5	23.74	20	77	2.466667
2018-03-04	3.6	5.6	0	31.3	24.82	21	83.75	2.266667
2018-03-05	2.6	8.5	6.4	31.2	24.44	20.4	77.5	1.266667
2018-03-06	3.9	6.3	22.1	29.8	24.34	20.7	81	2.433333
2018-03-07	3.5	5.1	2.2	30	23.94	21.3	84.25	2.166667
2018-03-08	3	0	0	23.8	21.44	20.2	86.5	2.766667
2018-03-09	2	3.4	0.4	26.8	22.08	19.2	77.25	2.5
2018-03-10	2.8	2.3	0	27.5	22.44	20.1	84.5	1.933333
2018-03-11	2.8	7.1	0.4	31	24.42	19.3	70.25	1.366667
2018-03-12	3.5	8.3	0	31.2	24.64	20.4	76.75	1.8
2018-03-13	1	4.8	42.8	29.3	23.76	20.3	81.5	1.933333
2018-03-14	2	8.9	0	33.6	25.34	21.6	72.5	2.266667
2018-03-15	3.9	4.6	32.8	31	25.94	19.9	66	2.466667
2018-03-16	3.9	7.3	0	30.5	25.26	22.4	72.5	2.466667
2018-03-17	4.5	6.7	0	29.6	24.24	21.2	71.25	1.9
2018-03-18	3.5	8.9	0	32	24.62	19.7	74	1.6
2018-03-19	3.8	6.4	0	31.9	25.66	21.4	78.75	1.366667
2018-03-20	3.4	2.1	0	31	23.74	19.5	79.25	0.533333
2018-03-21	2.3	2.6	50.1	27	22.4	19.5	79.25	1.833333
2018-03-22	2	2.2	5.4	26.4	22.12	19.8	80.5	2.9
2018-03-23	2	6	0	30	23.88	20.2	75.25	2.366667
2018-03-24	3	10.6	0	30.3	25.02	20.1	67.5	2.033333
2018-03-25	3	11.3	0	30.2	25.88	20.6	56.5	1.666667
2018-03-26	3.4	1.3	0	28.2	23.44	21.6	81.75	2.633333
2018-03-27	1.6	2.7	13.6	28.6	22.02	18.3	86	1.733333
2018-03-28	1.6	1	8.7	28.2	22.16	19.1	83	1.933333
2018-03-29	1.4	6.2	22.4	28.5	23.38	19.6	77.75	2.2
2018-03-30	1.8	6.5	1.5	27.8	22.44	19.6	80.5	1.666667
2018-03-31	1.6	4.2	7	28.3	22.48	19.3	78	1.333333
2018-04-01	2.1	4.6	8	28.5	24.02	19.3	73.25	2.066667
2018-04-02	2.8	1.1	2.2	26	22.88	20	77.5	2.366667
2018-04-03	2.2	3.5	0	26.3	22.44	20.5	81.5	2.466667
2018-04-04	1.9	1	0.2	26.8	21.62	19.3	79	1.633333
2018-04-05	2.1	6.3	0	27.8	22.04	18.2	74.25	1.333333
2018-04-06	4	6.6	0	27.2	22.3	19.4	72	3.533333
2018-04-07	3	6.5	0	28.6	21.96	18	72	2.7
2018-04-08	3.3	4.7	0	28.1	22.06	18.7	77.75	3.566667
2018-04-09	2.7	6.5	0	27.8	21.88	18.6	74.25	2.266667
2018-04-10	3.6	7.9	0	28.2	22.02	18.3	68.25	3.566667
2018-04-11	3.7	9.1	0	27.7	21.88	18.5	69	2.6
2018-04-12	3.8	7.3	0	28.2	22.44	17.7	72.25	2.166667
2018-04-13	5	7.7	0	29.8	23.76	19.3	65.25	1.733333
2018-04-14	4.5	5.1	0	26.2	21.92	19.6	74.25	2.166667
2018-04-15	7.5	0	3.8	20.8	19.44	18.4	88.25	3.5
2018-04-16	2	0	13.8	21.2	18.08	17	84.5	3.966667
2018-04-17	1.7	7.5	0	23.3	18.44	15.7	75.25	2.433333
2018-04-18	3.3	9.4	0	25.1	18.62	14	64	2.4
2018-04-19	3.7	9.9	0	26.2	19.1	14	62.75	2.666667
2018-04-20	4.4	8.2	0	25.8	19.54	14.2	58.5	2.2
2018-04-21	5.1	9.2	0	26.3	19.24	13.8	65.75	1.9
2018-04-22	4	9.2	0	26.3	20.24	15.8	74.25	2.333333
2018-04-23	3	6.7	0	26.7	20.58	16.7	72.5	1.933333
2018-04-24	3	7.9	0	27	21.02	17.1	68.75	2.166667
2018-04-25	3.3	6.8	0	28.2	21.56	17.8	70.75	2.133333
2018-04-26	3.2	7.3	0	27.8	21.68	18.6	75.25	1.866667
2018-04-27	3.2	7.9	0	28.6	22.48	18.8	72.5	2.4
2018-04-28	3.8	7.3	0	28.4	22.64	19.3	71.5	2.2
2018-04-29	3.5	6.7	0	28.4	21.98	19	76	2.133333
2018-04-30	4	8.8	0	29	22.82	17	56.25	1.033333
2018-05-01	6.5	6.6	0	28	21.98	18.1	72.5	1.7
2018-05-02	3	7.6	0	27.5	21.7	18	72.75	2.766667
2018-05-03	6.3	7.9	0	29	22.4	17.9	73.5	2.2
2018-05-04	4.2	9.2	0	29.5	22.46	17.7	67.75	1.666667
2018-05-05	5.5	7.4	0	29.6	22.54	18.1	67.5	1.733333
2018-05-06	4	7.7	0	25.8	21.06	18.1	73.5	3.133333
2018-05-07	3.5	5.3	0	25.4	20.54	18.3	74	3.4
2018-05-08	2.8	7.5	0	24.1	19.44	16.9	77	4.4
2018-05-09	2.9	9	0	25	19.34	15.7	71.25	2.7
2018-05-10	3.8	8.4	0	26.6	20.3	15.9	65	2.533333
2018-05-11	3.8	7.5	0	27.3	22.06	15.2	59.25	2.966667
2018-05-12	7.2	1.9	0	26.4	20.72	18.4	75	2.9
2018-05-13	3.6	2.5	0	23.6	18.92	17	73.5	2.533333
2018-05-14	3.6	7.1	0	25.6	19.58	16.3	77	2.566667
2018-05-15	2.9	0.2	0	22.6	19.74	17.4	77	1.533333
2018-05-16	3.5	4.8	0	27.2	21.08	17.6	70.5	3.566667
2018-05-17	4.4	5.3	0	24.1	19.98	17.1	74.75	3.133333
2018-05-18	3.2	7.9	0	27.5	21.78	17.1	72.5	2.3
2018-05-19	5.5	2.5	2.6	22.3	19.12	15.4	76.5	3.866667
2018-05-20	4	8.7	8.2	21	13.94	9.6	56.25	3.933333
2018-05-21	4.6	8.5	0	21.5	14.94	9.3	65.75	0.9
2018-05-22	4.2	8.6	0	24.6	15.36	9.7	73.5	1.333333
2018-05-23	2.5	6	0	22.2	15.7	11.4	74.25	1.866667
2018-05-24	2.4	6.7	0	22.9	16.74	12.5	76.25	2.4
2018-05-25	2.5	2.5	0	22.8	17.44	12.1	76.75	2.466667
2018-05-26	2.3	5.6	0	23.3	17.8	14.9	77	2.366667
2018-05-27	2.3	6	0	24.2	17.7	14.7	76.75	1.9
2018-05-28	2.3	7.2	0	22.6	16.74	12.9	73.25	2.866667
2018-05-29	2	8.3	0	24	17.94	13.3	65	2.7
2018-05-30	4.5	8.4	0	24.4	18.12	13.4	61.75	2.333333
2018-05-31	3.7	8.1	0	25.1	18.74	12.5	65.25	2.066667
2018-06-01	4.3	8.5	0	25.1	19.86	15.2	49.25	2.266667
2018-06-02	6.7	1.6	0	25.3	21.36	16.3	57.75	1.466667
2018-06-03	4.9	0	0.8	22.5	16.28	13.7	88.75	3.3
2018-06-04	0.9	0	0	17.4	15.24	13.5	81.75	2.633333
2018-06-05	2	0	0.3	18.6	16.02	14.1	86.25	2.233333
2018-06-06	1	1.9	0	23.2	17.52	14	83	1.666667
2018-06-07	1.8	1.7	2.6	22.2	18.8	15.3	79.5	2.5
2018-06-08	2.8	0.6	2	20.8	16.1	14.3	83.25	2.633333
2018-06-09	1.9	0.6	0	19.7	15.82	12.5	86.75	1.2
2018-06-10	1	2.3	0	24.5	19.14	14	83.25	2.133333
2018-06-11	2	6.2	0	27.8	21.58	14.9	71.25	1.9
2018-06-12	4	4.9	0	27.9	23.46	17.3	59	2.766667
2018-06-13	4	0.8	6.8	24.2	19.96	13.2	83.75	1.533333
2018-06-14	2.2	0	0.2	21.2	15.56	13.4	86.75	3.866667
2018-06-15	1.1	0	0	16.8	14.58	12.5	86	2.7
2018-06-16	0.9	0	0	16.2	14.5	13.5	84.5	3.2
2018-06-17	1.3	1.5	0	20.1	15.76	13.6	82.5	2.833333
2018-06-18	2	3.6	0	22	16.82	13.9	81.5	2.933333
2018-06-19	2	6.6	0	23.3	17.88	15	80.5	2.3
2018-06-20	2.5	7.7	0	25.5	19.56	14.7	66.5	1.3
2018-06-21	3.5	7.9	0	25.4	19.84	14	58	2.3
2018-06-22	5.3	5.1	0	24.6	19.12	15	59.75	1.733333
2018-06-23	4	6.8	0	26.4	20.28	14.6	60.25	1.866667
2018-06-24	4.4	7.4	0	28.5	20.72	17.5	67	2.1
2018-06-25	3.1	8.4	0	27.2	21.14	15.9	51.25	1.9
2018-06-26	8	2.5	0	26.5	21.46	16.6	45	1.633333
2018-06-27	6	7.3	0	23.4	18.62	15.5	70.75	1.9
2018-06-28	3	5.2	0	26	19.58	15.2	70	1.6
2018-06-29	3.5	8.5	0	26.4	20.06	14.7	57.5	1.966667
2018-06-30	4.7	6.6	0	26.8	20.18	15.1	72	0.666667
2018-07-01	4.8	7.9	0	27.4	20.54	14.9	61.5	0.533333
2018-07-02	4	7.9	0	27.3	20.88	14.9	50	2.8
2018-07-03	6	5.4	0	24.7	18.72	16.2	77.75	2.433333
2018-07-04	2.6	5.7	0	23.7	17.94	15.5	82.25	2.633333
2018-07-05	1.9	6.2	0	28.5	20.16	14.7	65.25	1.366667
2018-07-06	3.2	5.5	0	26.6	20	15.3	57	0.966667
2018-07-07	3.9	7.6	0	25.2	19.5	14	54.25	1.766667
2018-07-08	5.7	8.5	0	27.7	21.62	18.4	50.75	1.266667
2018-07-09	7.5	5.4	0	25.2	17.82	14.7	72.25	3.266667
2018-07-10	4.4	0.2	0	15.6	12.08	10.6	79.5	2.2
2018-07-11	1.1	3	0	15.5	11.78	9.7	76.25	2.166667
2018-07-12	2.1	8.2	0	19.4	12.98	9.6	68.5	1.533333
2018-07-13	2.4	7.9	0	23.6	15.74	9.1	61.5	1.066667
2018-07-14	5.3	8.3	0	26.4	18.64	11	53.75	0.433333
2018-07-15	4.8	null	0	28.2	20.36	13	49.75	0.533333
2018-07-16	5.6	7.8	0	28.3	20.68	14.3	54	1.533333
2018-07-17	5.8	8.4	0	27	19.6	14.4	66.75	0.666667
2018-07-18	4.8	8.4	0	27.8	20.4	13.7	66	1.533333
2018-07-19	4.8	8.4	0	28.1	20.76	15	62.75	1.1
2018-07-20	4.9	8.4	0	28.7	21.56	15	56	1.7
2018-07-21	9.4	5.3	0	28.1	19.68	15.7	72.5	4.166667
2018-07-22	6	2	0	22.1	17.52	15	79.5	2.966667
2018-07-23	2	5.6	0	25.5	19.52	14.9	62.25	0.9
2018-07-24	3.6	0.2	0	20.5	16.78	14.1	82	2.466667
2018-07-25	1.8	4.6	0	23.8	17.84	14.9	77	2.8
2018-07-26	2.6	7.3	0	25.5	18.84	14.9	70.25	1.933333
2018-07-27	3	8.8	0	26.6	20.2	14.4	55.25	1.6
2018-07-28	3.8	8.5	0	27.4	20.36	15	54.25	1.6
2018-07-29	7	5.2	0	29.2	22.58	16.1	42	1.966667
2018-07-30	2.7	2.5	0	25.2	18.72	16.4	74.5	2.3
2018-07-31	9.7	2	24.2	18.4	15.04	13.3	82.25	2.466667
2018-08-01	2.1	0	0	14.5	13.36	12.5	86.75	3.033333
2018-08-02	1	0	5	17.1	14.9	12.4	89.75	1.9
2018-08-03	1.3	0	0	16.2	15.16	13.6	92.5	1.9
2018-08-04	0.7	1.9	17.6	20.4	17.22	14.2	75	2.833333
2018-08-05	3.6	0	0	19.8	16.08	14.5	78.5	1.3
2018-08-06	2.4	0	5.1	15.1	14.02	13.2	89.75	1.6
2018-08-07	2	0	8.5	17.8	14.36	12	84.5	2.9
2018-08-08	0.5	6	0	26	19.38	12.9	67.75	1.833333
2018-08-09	4.9	8.4	2.2	24.6	19.06	15.2	68.25	3.8
2018-08-10	7.3	9.8	0	20.7	15.22	10.2	48	4.133333
2018-08-11	9.3	9.5	0	22.8	14.58	10.5	55.5	1.6
2018-08-12	5.8	5.1	0	19.2	13.78	10.5	72.75	2.433333
2018-08-13	3.2	6.1	0	21.4	14.94	10.1	80.5	2.533333
2018-08-14	3.5	8.5	0	27.9	17.46	10	70.75	2.2
2018-08-15	4.2	0	0	17.8	14.94	12.7	84	2.5
2018-08-16	2	0	0	17.3	15.18	13.8	86.25	3.8
2018-08-17	1.1	0	0.5	17.4	15.26	13.5	83.75	2.733333
2018-08-18	1.7	7.5	0.1	22.2	16.68	13	75.25	2.466667
2018-08-19	3	7.9	0	26.7	19.3	13.7	65.5	1.833333
2018-08-20	5.5	9.3	0	27.8	21	14.4	47.25	1.666667
2018-08-21	6	8.4	0	28.8	19.04	14.2	64.75	3.8
2018-08-22	3.6	3.9	0	26.5	19.88	14.9	64.75	1.533333
2018-08-23	3.9	7.8	0	27.7	22.16	16.2	56	1.8
2018-08-24	6.2	4.8	0	29.7	22.74	17.7	50.25	2.466667
2018-08-25	6.8	0	8.8	22.4	18.06	16.3	81.75	3.2
2018-08-26	2.5	0	1	16.8	12.88	11.3	87	3.4
2018-08-27	1.5	0	0	16.8	13.56	11.2	82.25	3.033333
2018-08-28	2.1	7.8	0	24.8	17.14	12.6	77.5	2.633333
2018-08-29	3.2	8.1	0	25.7	19.08	13.9	61.5	2
2018-08-30	4.5	10.1	0	29.2	21.94	14.5	47.5	2.866667
2018-08-31	6.4	10.5	0	29.8	22.94	15.9	45.5	1.2
2018-09-01	7.7	null	0	31.8	22.18	17	58	1.066667
2018-09-02	3.6	5.6	0	31.4	21.5	16.3	64.5	2.766667
2018-09-03	6.7	5.6	0	26	18.86	15.1	80.5	3.566667
2018-09-04	4.8	2.7	2	17.2	13.72	12	81.5	3.566667
2018-09-05	3.2	7.9	24.2	16	13.06	11.1	78.75	2.9
2018-09-06	2.4	8	0	22.1	14.2	9.8	76.25	2.833333
2018-09-07	3.4	9.3	0	27.2	17.78	11.4	68.25	2.733333
2018-09-08	4	7.2	0	26.4	16.98	12	74.5	2.633333
2018-09-09	3.6	null	0	24.5	16.84	13	73.5	3.133333
2018-09-10	3	null	0	25	17.9	13.9	70	3.233333
2018-09-11	4.2	null	0	24	17.54	14.2	70.25	4.133333
2018-09-12	3.8	null	0	23.7	17.8	14.9	73.25	4.7
2018-09-13	4	null	0	26.8	18.52	15.1	75.5	2.2
2018-09-14	2.8	null	6.7	19	17.86	16.1	88.5	1.633333
2018-09-15	0.9	null	10	23.4	18.12	16	79.75	3.033333
2018-09-16	2.8	null	0	23	17.7	15	71.75	3.733333
2018-09-17	3	null	1.5	19.5	17.54	14.7	87.25	2.266667
2018-09-18	3.5	null	8.2	23.9	19.82	14.9	80.75	2.7
2018-09-19	4.5	null	0	29.9	24.32	18.9	61.75	2.366667
2018-09-20	5.1	null	0	25	20.14	18.1	79.5	3.266667
2018-09-21	2.1	null	7.1	27.7	20.82	17.4	78.25	0.866667
2018-09-22	3.3	null	0	28.8	21.44	15.9	63.75	1.8
2018-09-23	4.1	null	0	32.4	23.26	16.4	46.75	1.633333
2018-09-24	7.4	null	0	33.5	22.68	16.5	61	2.833333
2018-09-25	5.8	null	0	26.4	20.94	16.4	74.25	2.733333
2018-09-26	3.2	null	0	32.2	23.38	18.3	66.5	2.433333
2018-09-27	4.5	null	2	28.8	22.4	19.5	84	2.766667
2018-09-28	2.5	null	11.1	22.2	20.24	18.8	87	2.5
2018-09-29	1	null	0	28.2	21.92	18.4	78.25	3.066667
2018-09-30	2.5	null	0	28.9	21.9	19.2	81.5	1.233333
2018-10-01	1.5	null	35.5	25.2	21.44	18.9	86	1.3
2018-10-02	2	null	3.2	30.9	22.9	17.8	81	1.2
2018-10-03	3.7	null	0	31.9	23.92	19.9	82	2.05
2018-10-04	5	null	0.6	23	19.8	18.2	86	2.85
2018-10-05	2.8	null	0	18.6	15.68	13.8	89	3.7
2018-10-06	1.8	null	0	17.8	16.06	13.8	82	3.85
2018-10-07	2	null	0	19.4	17.3	15.4	91	2.7
2018-10-08	0.9	null	1.6	21.7	19.36	16.2	93	2
2018-10-09	1	null	15.2	28.3	23.12	18.7	79	2.1
2018-10-10	4	null	1.2	28.6	22.02	19.8	88	3.45
2018-10-11	2.8	null	0.2	20.8	19.18	18.1	90	2.8
2018-10-12	1.4	null	1	27.3	21.5	18.2	87	3.3
2018-10-13	2.3	null	0	30.4	23.3	18.9	85	1.15
2018-10-14	5.2	null	6.8	20.6	18.3	17.1	86	2.45
2018-10-15	1.5	null	12.6	24.1	19.02	16.6	90	6.05
2018-10-16	1.5	null	0.8	24.9	20.24	17.2	91	2.8
2018-10-17	3.8	null	0	29.5	23.58	18	76	1.55
2018-10-18	2	null	4.7	29.9	22.62	18.9	86	1.35
2018-10-19	5	null	4.9	21.1	18.78	17.1	85	4.3
2018-10-20	2.5	null	0.3	21.9	16.92	14.4	66	4.8
2018-10-21	4.3	null	0	22	16.98	12.8	70	5
2018-10-22	3.4	null	0	28.3	19.6	15.2	70.75	3.433333
2018-10-23	3.9	null	0	30.2	21.7	16	74.25	2.966667
2018-10-24	3.7	0	3	19.5	18.28	17.2	88.75	3.3
2018-10-25	0.7	0	17.6	21.4	19.16	17.2	91	2.2
2018-10-26	0.8	1.1	5.7	25.4	21	17.5	85.5	0.8
2018-10-27	2.3	4.9	0.8	25.6	21.3	19.3	85	4.15
2018-10-28	3.7	2.2	5.2	19.5	15.86	14	86.75	4.066667
2018-10-29	2.4	0.7	0.1	21	16.6	13.4	82.75	3.733333
2018-10-30	2.4	7.6	0	28	19.72	15.6	72.75	2.966667
2018-10-31	3.2	7.3	0	31.4	21.62	16.7	72.25	2.066667
2018-11-01	5	5.3	10.2	27.9	22.26	18.1	68.25	1.266667
2018-11-02	4.7	3.6	0	27.2	21.4	18.2	76.25	3.3
2018-11-03	2.3	9.9	0	31.4	22.62	19.1	69.5	4.533333
2018-11-04	5.3	0.5	5	22.8	18.8	17.2	79	3.866667
2018-11-05	2.5	0.4	0.4	21.2	17.82	15.1	77.5	3.833333
2018-11-06	2.6	0.6	0	23.2	18.84	15.9	85	2.566667
2018-11-07	2.5	0	0	23.2	18.64	16.2	83	3.4
2018-11-08	1.7	0	4.4	20.8	18	15.8	86	4.566667
2018-11-09	2	4.8	4	24.4	19.6	16.2	79.5	4.433333
2018-11-10	2.3	1.5	0	25.3	20.72	17.3	80	2.133333
2018-11-11	2.5	4.9	0	28.6	22.64	19.2	78	2.566667
2018-11-12	2.7	5.9	0	30	22.66	18.6	82.25	3.266667
2018-11-13	3	11.7	0	32.2	25.92	19.4	65.25	2.466667
2018-11-14	5.8	9.5	0	32.5	27.16	23.4	56.5	3.466667
2018-11-15	6	4.5	0	29.7	24.1	20.8	79	3.7
2018-11-16	3	2.2	0.1	25.2	20.58	18.3	70.25	3.8
2018-11-17	3.4	8.9	0	29	21.3	16.5	72.75	2.633333
2018-11-18	3.7	5.6	0	28.5	24.02	18.8	71.75	3.2
2018-11-19	3.9	0	28.6	23.4	17.16	14.2	91.5	3.466667
2018-11-20	1	0	14	19.5	16.7	14.2	82.25	5.433333
2018-11-21	1.8	0	0	20.4	17.88	15.1	84.5	2.766667
2018-11-22	1.2	9.5	0	28.8	22.54	17.5	70	2.4
2018-11-23	4.7	8.1	13.1	29.5	23.06	18.6	70.75	1.766667
2018-11-24	2.8	2.5	9.2	25.8	21.52	19.4	77.75	4.333333
2018-11-25	3.5	1.2	7.1	24.5	20.46	18.8	87.25	3.3
2018-11-26	3	0.8	3.6	22.5	18.98	17.6	71.25	3.833333
2018-11-27	3.3	7.4	0	25.2	19.86	15.5	71.75	3.366667
2018-11-28	4	6.5	0	28.8	21.98	19.4	73.5	3.566667
2018-11-29	3.8	5.6	0	29.8	23.38	19.2	67.25	2.8
2018-11-30	3.9	7	2	31.5	23.48	20	74.5	2.1
2018-12-01	4	1.8	76.6	26.6	23.24	18.9	85.5	2.1
2018-12-02	3.5	5.2	30.6	26.7	21.3	19	80	3.3
2018-12-03	2.9	0.1	1	22.7	18.88	16.5	80	2.6
2018-12-04	3.2	6.6	0	30	23.34	16.9	62	2.466667
2018-12-05	7.3	6.9	0	29.8	23.96	20.2	52.5	2.9
2018-12-06	6.5	6.8	4	29.4	21.24	17.9	73.5	2.733333
2018-12-07	3.9	0.7	0	24.5	19.5	17.2	77.5	3.866667
2018-12-08	2.5	1.1	1	20	16.38	13.7	74.75	5
2018-12-09	3.4	7.9	0	26.8	19.38	13.3	62.25	3.733333
2018-12-10	5	8	0	30	23.42	15.7	54	3.1
2018-12-11	6.6	7.2	0	31.5	25.48	19.2	53	2.733333
2018-12-12	6.7	7.2	0	33.6	25.16	20.2	61	0.533333
2018-12-13	7.7	6.5	14	32	24.54	20.5	64.75	3.7
2018-12-14	4.6	2.6	12.2	33.5	26.88	19.6	49.5	1
2018-12-15	8.4	6.7	0	33.6	26.9	22.4	58.25	2.366667
2018-12-16	6.5	6	0	32.6	25.94	22.3	75	2.466667
2018-12-17	3.5	7	0.7	34.1	28.08	22.3	58.25	3.033333
2018-12-18	6	null	7.4	34.4	25.56	20.7	74.75	2.2
2018-12-19	5	null	6.8	31.2	25.12	21.6	74	2.5
2018-12-20	3.2	null	8	33.6	27.72	21.7	51.25	2.066667
2018-12-21	6.8	null	0	32.2	26.58	22.3	64.5	2.466667
2018-12-22	5.3	null	0	33	26.54	21.7	57.5	2.2
2018-12-23	5.7	null	0.4	30.2	23.88	21	77	1.9
2018-12-24	2.2	null	18.2	28.4	22.46	19.9	84.25	3.4
2018-12-25	2.5	null	7	24.2	20.86	19.3	84.5	3.2
2018-12-26	2.2	null	0.6	27.3	22.1	18	72.75	2.9
2018-12-27	3.8	null	0	28.7	22.98	19	72	3.566667
2018-12-28	4	null	0	28.9	23.22	18.9	76.75	2.066667
2018-12-29	3.2	null	2.6	30.4	23.8	18.8	66.25	2.266667
2018-12-30	3.9	null	0	32.4	24.34	19.1	65.75	2.2
2018-12-31	5.2	null	0	31	24.18	19.1	66	2.633333
2019-01-01	4.2	null	0	31.8	24.48	18.7	79.25	2.3
2019-01-02	3.7	null	6.7	32	25.86	21	71.75	2.566667
2019-01-03	6.3	null	0	33.3	24.86	20.6	69.75	3.066667
2019-01-04	6.5	null	37.8	29.4	23.92	20.7	86.75	1.266667
2019-01-05	2	null	25.6	24.7	22.4	20.3	83.75	1.633333
2019-01-06	3.7	null	22.1	29.6	23.8	20.1	80	2
2019-01-07	3.3	null	15	33.5	27.34	20.6	57.75	2.166667
2019-01-08	6.5	null	0	33	26.16	21.8	67.25	2.166667
2019-01-09	6.2	null	0.8	34.5	26.58	21.6	65	1.6
2019-01-10	4.5	null	0	32.5	27.22	22.5	56.25	2.4
2019-01-11	8.1	null	0	32.2	25.06	20.3	71.75	2.733333
2019-01-12	4.6	null	25.4	30.8	24.56	19.8	78	1.2
2019-01-13	3.9	null	0	31.5	24.94	21	76	1.85
2019-01-14	4.5	null	0	32.5	26	21.6	74	0
2019-01-15	5.5	null	0	31.8	26.96	22.7	66	0.8
2019-01-16	5.5	null	8.8	31	23.66	20.2	86	2.9
2019-01-17	4.7	null	3.2	33.7	24.66	19.6	86	1.2
2019-01-18	4.8	null	10.2	32.8	25.42	19.5	77	1.85
2019-01-19	5	null	0	33.4	26.4	22	69	0.8
2019-01-20	6.7	null	1	32	25.82	22.1	80	0.8
2019-01-21	3.8	null	0.6	33.9	27.46	21.8	74	1.6
2019-01-22	7.5	null	0	31.5	25.96	21.4	80	2.8
2019-01-23	3	null	22	32.2	25.34	21.3	82	2.5
2019-01-24	3.4	null	6	30.5	23.9	18.6	79	2.05
2019-01-25	2	null	44	27.4	21.28	18	86	2.8
2019-01-26	2.5	null	23.5	28.7	20.94	16.5	92	2.25
2019-01-27	3.2	null	0	31	25.24	19	66	0.8
2019-01-28	5.3	null	0	34	27.24	21.3	72	1.6
2019-01-29	7.4	null	0	32.7	26.7	22.7	67	0.8
2019-01-30	4.6	null	1.2	35.1	24.82	18	68	1.5
2019-01-31	5.5	null	52	34.4	26.8	17.8	48.25	1.533333
2019-02-01	10.2	null	0	35.5	27.66	21.7	54.75	1.866667
2019-02-02	8.8	null	0	35.9	28.04	22.5	60.75	1.833333
2019-02-03	8.2	null	0	31.4	25.6	22.8	73	2.633333
2019-02-04	4.6	null	57	24	19.72	17.6	83	3.266667
