Data Medicao	EVAPORACAO DO PICHE, DIARIA(mm)	INSOLACAO TOTAL, DIARIO(h)	PRECIPITACAO TOTAL, DIARIO(mm)	TEMPERATURA MAXIMA, DIARIA(°C)	TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)	TEMPERATURA MINIMA, DIARIA(°C)	UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)	VENTO, VELOCIDADE MEDIA DIARIA(m/s)
2016-07-05	3.4	7.5	0	26.2	19.66	13.3	62.75	1.733333
2016-07-06	4.7	8.6	0	26.4	22.32	16.8	50.25	4.7
2016-07-07	6.5	8.8	0	23.8	16.7	11.7	42.75	2.266667
2016-07-08	6.5	8.4	0	20.5	13.96	9	63	1.766667
2016-07-09	3.9	7.1	0	23.2	15.3	8.1	70.5	1.9
2016-07-10	2.6	8.5	0	27.9	18.84	8.4	59	1.666667
2016-07-11	4.4	8.6	0	28.4	21.62	14.3	51.75	2.2
2016-07-12	8.3	8.5	0	28.7	23.26	17.4	48.5	2.766667
2016-07-13	7.7	3	0	26	19.82	15.3	74	1.3
2016-07-14	2.3	8.2	0	27.8	21.54	14.8	47.5	2.166667
2016-07-15	8.3	8.2	0	29.2	23.58	17.5	38.75	3.866667
2016-07-16	9.5	0	0	24.5	19.66	16.2	77	3.833333
2016-07-17	3.1	8.6	6.4	19.7	13.8	10.3	49	2.166667
2016-07-18	5.4	7.2	0	17.3	11.88	8.7	66.25	3.3
2016-07-19	3.5	2.2	0	17	12.5	9	76	2.166667
2016-07-20	2	6.1	0	18	12.86	10.1	76.75	2.733333
2016-07-21	2.5	2.2	0	18.2	13.36	10.5	78.5	2.466667
2016-07-22	2.2	3.3	0	17.9	13.18	10.9	79	2.7
2016-07-23	2	7.1	0	24.3	15.94	11	79.75	1.533333
2016-07-24	2.2	8.5	0	27.3	18.68	12.5	68.5	1.966667
2016-07-25	4.9	8.5	0	25.4	19.44	13.6	58.75	1.6
2016-07-26	4.3	8.8	0	27	20.76	12.6	47.25	2.6
2016-07-27	10.1	8.4	0	27.9	18.7	13.8	50.5	2.633333
2016-07-28	6.3	8.8	0	19.7	14.16	10.5	74.5	3.3
2016-07-29	4.9	0	0	18.6	14.96	11.8	80.5	2.366667
2016-07-30	2.7	7.3	0	23.8	16.92	13	77.75	2.6
2016-07-31	3	6.2	0	23.8	18.34	13	70.75	2.333333
2016-08-01	3	null	0	25.2	19.9	13.5	53.75	2.366667
2016-08-02	6.4	0.2	0	21.4	16.34	13.7	83.75	2.833333
2016-08-03	1.8	3.4	0	22.2	16.7	13.7	83.5	2.533333
2016-08-04	2.4	7.1	0	25.1	18.32	14.5	75.5	1.8
2016-08-05	0.5	7.3	0	26.9	20.16	13.4	61.75	1.833333
2016-08-06	6.2	9.1	0	28.4	21.86	14.6	48.25	2.333333
2016-08-07	6.7	5.9	0	23.5	19.24	15.6	64.5	3.1
2016-08-08	3.2	0.4	0	18.8	16.1	13.6	83	2.266667
2016-08-09	1.6	0	0	22	18.78	14.6	74.5	1.333333
2016-08-10	2.2	0.7	0.2	20	14	11.4	72.75	2.8
2016-08-11	1.5	0.9	0	14.9	11.84	8.7	78.5	2.833333
2016-08-12	3	8.1	0	19.4	13.52	10.2	75	3.033333
2016-08-13	2.7	9	0	27	17.34	10.2	55.75	1.533333
2016-08-14	4.3	9.8	0	29.7	19.86	11.2	44.25	1.966667
2016-08-15	7.5	5.5	0	29.6	18.6	13.6	74	3.533333
2016-08-16	5.4	3.1	5	23.4	19	14.2	66.5	2.066667
2016-08-17	3.5	9.9	0	28	22.7	15.1	52	2.733333
2016-08-18	7.4	4.8	12	25	17.86	14.8	87.25	3.566667
2016-08-19	1.2	6	0	27.4	19.58	13.6	78	2.266667
2016-08-20	2.6	0.7	0	22.2	18.48	15.4	85.5	0.866667
2016-08-21	1.4	4.2	46	18.8	13.38	9.6	90.5	4.3
2016-08-22	1	0	11	15.2	11.36	8.3	80.25	3.666667
2016-08-23	1.7	7.4	0	21	13.98	9.1	73.75	3.4
2016-08-24	3.6	8	0	23.4	16.04	10.8	75	2.933333
2016-08-25	3.1	8.2	0	26	17.68	12.8	73.25	1.766667
2016-08-26	3.1	10	0	28.7	19.66	12	56.5	1.6
2016-08-27	4.3	10.3	0	28.8	21.12	12.9	46	2.166667
2016-08-28	6.6	10.2	0	30.4	22.24	13.9	46	2.566667
2016-08-29	7.9	9.2	0	31.4	24.22	16.3	42	1.433333
2016-08-30	8	4.9	0	28.3	23.08	18.5	55.5	1.733333
2016-08-31	5.5	0	8.2	22.5	17.4	14.3	88.25	3.133333
2016-09-01	1.5	10.1	4.2	23.4	17.68	13.1	69.5	2.166667
2016-09-02	3.3	4	0	25	18.38	13.3	81.25	2.766667
2016-09-03	2.5	1.4	0	25.4	20.14	16	79.75	2.4
2016-09-04	2.2	0	0	21.8	19.52	16.6	77.5	1.033333
2016-09-05	2.4	1.9	0	23.8	18.76	16.6	81.5	2.366667
2016-09-06	2.1	1	10.8	19.8	18	15.8	83.25	3.433333
2016-09-07	2.7	1	0	19.5	17.8	15.7	80	3.5
2016-09-08	2.3	9.9	0	25.8	17.32	11.6	61.75	1.766667
2016-09-09	3.4	4.6	0	22.5	17.18	13.5	80.75	3.833333
